AS23456,UN,4Byte ASN Place Holder
AS71,US,HP-INTERNET-AS Hewlett-Packard Company
AS17698,JP,CCNET-NET COMMUNITY NETWORK CENTER INCORPORATED.
AS4249,US,LILLY-AS - Eli Lilly and Company
AS24139,CN,CNNIC-WASU-AP WASU TV & Communication Holding Co.,Ltd.
AS3479,US,PEACHNET-AS1 - Kennesaw State University
AS4719,JP,OET ONKYO ENTERTAINMENT TECHNOLOGY CORPORATION
AS9808,CN,CMNET-GD Guangdong Mobile Communication Co.Ltd.
AS15471,RO,SNR-RO S.N. Radiocomunicatii S.A.
AS14361,US,HOPONE-GLOBAL - HopOne Internet Corporation
AS24560,IN,AIRTELBROADBAND-AS-AP Bharti Airtel Ltd., Telemedia Services
AS35686,PL,TORMAN-COM Torun Regional Computer Network
AS5726,US,INTERWORLD - InterWorld Communications, Inc.
AS3462,TW,HINET Data Communication Business Group
AS2647,EU,SITA SITA
AS3356,US,LEVEL3 Level 3 Communications
AS721,US,DNIC-ASBLK-00721-00726 - DoD Network Information Center
AS4713,JP,OCN NTT Communications Corporation
AS174,US,COGENT Cogent/PSI
AS9394,CN,CTTNET China TieTong Telecommunications Corporation
AS2516,JP,KDDI KDDI CORPORATION
AS3,US,MIT-GATEWAYS - Massachusetts Institute of Technology
AS4538,CN,ERX-CERNET-BKB China Education and Research Network Center
AS31399,DE,DAIMLER-AS Daimler Autonomous System
AS237,US,MERIT-AS-14 - Merit Network Inc.
AS7377,US,UCSD - University of California at San Diego
AS714,US,APPLE Apple Inc
AS1239,US,AS1239 SprintLink Global Network
AS9318,KR,HANARO-AS Hanaro Telecom Inc.
AS1103,EU,SURFNET-NL SURFnet, The Netherlands
AS17858,KR,KRNIC-ASBLOCK-AP KRNIC
AS306,US,DNIC-ASBLK-00306-00371 - DoD Network Information Center
AS2914,US,NTT-COMMUNICATIONS-2914 - NTT America, Inc.
AS4808,CN,CHINA169-BJ CNCGROUP IP network China169 Beijing Province Network
AS4812,CN,CHINANET-SH-AP China Telecom (Group)
AS680,DE,DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
AS2907,JP,SINET-AS Research Organization of Information and Systems, National Institute of Informatics
AS2828,US,XO-AS15 - XO Communications
AS786,GB,JANET The JNT Association
AS702,US,AS702 Verizon Business EMEA - Commercial IP service provider in Europe
AS23693,ID,TELKOMSEL-ASN-ID PT. Telekomunikasi Selular
AS1668,US,AOL-ATDN - AOL Transit Data Network
AS17506,JP,UCOM UCOM Corp.
AS3786,KR,LGDACOM LG DACOM Corporation
AS45595,PK,PKTELECOM-AS-PK Pakistan Telecom Company Limited
AS31377,EU,AKAMAI-BOS Akamai International B.V.
AS45609,IN,BHARTI-MOBILITY-AS-AP Bharti Airtel Ltd. AS for GPRS Service
AS51964,FR,ORANGE-BUSINESS-SERVICES-IPSN-ASN Equant Inc.
AS6167,US,CELLCO-PART - Cellco Partnership DBA Verizon Wireless
AS1659,TW,ERX-TANET-ASN1 Tiawan Academic Network (TANet) Information Center
AS10455,US,LUCENT-CIO - Alcatel-Lucent
AS11003,US,PANDG - The Procter and Gamble Company
AS2686,US,AT&T Global Network Services - EMEA
AS8452,EG,TE-AS TE-AS
AS4847,CN,CNIX-AP China Networks Inter-Exchange
AS30722,IT,VODAFONE-IT-ASN Vodafone Omnitel N.V.
AS2518,JP,BIGLOBE NEC BIGLOBE, Ltd.
AS9829,IN,BSNL-NIB National Internet Backbone
AS27064,US,DNIC-ASBLK-27032-27159 - DoD Network Information Center
AS7552,VN,VIETEL-AS-AP Vietel Corporation
AS9824,JP,ASN-ATHOMEJP
AS9644,KR,SKTELECOM-NET-AS SK Telecom
AS11351,US,RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC
AS11427,US,SCRR-11427 - Time Warner Cable Internet LLC
AS2497,JP,IIJ Internet Initiative Japan Inc.
AS12576,GB,ORANGE-PCS Orange Personal Communications Services
